# x y z nx ny nz
2.134000 1.328000 -0.693000 -0.007452 0.015174 -0.999857
2.134000 1.331000 -0.691000 -0.018240 0.012677 -0.999753
2.139000 1.336000 -0.691000 -0.013249 0.014158 -0.999812
2.146000 1.343000 -0.691000 -0.005405 0.010553 -0.999930
2.152000 1.349000 -0.690000 -0.381933 0.455535 -0.804124
2.159000 1.355000 -0.690000 -0.357656 0.431596 -0.828135
2.168000 1.362000 -0.690000 -0.332380 0.405105 -0.851712
2.178000 1.370000 -0.691000 -0.300856 0.369063 -0.879362
2.186000 1.377000 -0.691000 -0.300856 0.369063 -0.879362
2.194000 1.383000 -0.690000 -0.271978 0.335589 -0.901891
2.210000 1.394000 -0.693000 -0.156853 0.192407 -0.968698
2.212000 1.397000 -0.690000 -0.183688 0.228210 -0.956127
2.226000 1.407000 -0.692000 0.134757 -0.196167 -0.971267
2.235000 1.414000 -0.691000 0.158823 -0.229121 -0.960353
2.242000 1.419000 -0.691000 0.251685 -0.355091 -0.900314
2.257000 1.429000 -0.692000 0.367411 -0.515817 -0.773913
2.267000 1.436000 -0.692000 -0.460750 0.655863 0.597957
2.278000 1.444000 -0.692000 0.341620 -0.486941 -0.803856
2.286000 1.450000 -0.691000 0.008555 -0.000405 -0.999963
2.299000 1.458000 -0.692000 -0.027950 0.054436 -0.998126
2.308000 1.464000 -0.691000 -0.027950 0.054436 -0.998126
2.319000 1.472000 -0.691000 -0.373768 0.581853 -0.722319
2.331000 1.479000 -0.690000 -0.329292 0.523669 -0.785708
2.340000 1.484000 -0.689000 -0.258298 0.415850 -0.871981
2.358000 1.496000 -0.691000 -0.327596 0.536949 -0.777410
2.370000 1.503000 -0.691000 -0.275092 0.454040 -0.847450
2.382000 1.511000 -0.691000 -0.516537 0.856039 -0.019671
2.400000 1.521000 -0.692000 0.324863 -0.561743 -0.760861
2.411000 1.527000 -0.691000 0.331436 -0.577509 -0.746079
2.425000 1.535000 -0.691000 0.316171 -0.557143 -0.767872
2.437000 1.542000 -0.690000 -0.049831 0.090378 -0.994660
2.454000 1.552000 -0.691000 -0.292301 0.523332 -0.800427
2.471000 1.561000 -0.691000 -0.413957 0.747677 -0.519248
2.483000 1.567000 -0.691000 -0.382445 0.692004 -0.612264
2.501000 1.577000 -0.691000 0.089884 -0.178413 -0.979842
2.518000 1.587000 -0.691000 0.287809 -0.547420 -0.785810
2.533000 1.595000 -0.691000 0.227670 -0.436058 -0.870643
2.551000 1.604000 -0.692000 0.241160 -0.463127 -0.852851
2.568000 1.613000 -0.692000 0.223892 -0.435633 -0.871835
2.582000 1.619000 -0.691000 -0.322295 0.637688 0.699629
2.598000 1.627000 -0.690000 -0.409044 0.826006 0.387811
2.618000 1.637000 -0.691000 -0.395316 0.809497 0.434096
2.635000 1.645000 -0.690000 -0.344250 0.703052 0.622263
2.655000 1.655000 -0.691000 -0.323175 0.665268 0.673035
2.672000 1.663000 -0.690000 -0.323251 0.679624 0.658498
2.693000 1.673000 -0.691000 -0.330699 0.698009 0.635155
2.708000 1.679000 -0.689000 -0.324935 0.692048 0.644583
2.723000 1.685000 -0.688000 -0.359005 0.785317 0.504373
2.745000 1.695000 -0.688000 -0.383586 0.859671 0.337385
2.763000 1.703000 -0.688000 -0.374824 0.844366 0.382823
2.786000 1.713000 -0.688000 0.224065 -0.497242 -0.838180
2.808000 1.723000 -0.688000 0.210197 -0.468125 -0.858298
2.824000 1.729000 -0.687000 0.250886 -0.564918 -0.786082
2.848000 1.740000 -0.687000 0.250896 -0.574603 -0.779027
2.869000 1.748000 -0.687000 -0.312624 0.735331 0.601294
2.889000 1.756000 -0.686000 -0.364305 0.884973 0.290008
2.907000 1.763000 -0.685000 -0.355882 0.868420 0.345246
2.936000 1.775000 -0.686000 -0.346291 0.857999 0.379369
2.964000 1.787000 -0.687000 -0.302852 0.758340 0.577236
2.985000 1.795000 -0.686000 -0.304853 0.766755 0.564935
3.009000 1.804000 -0.686000 -0.289502 0.726245 0.623503
3.036000 1.815000 -0.686000 -0.314471 0.810010 0.494966
3.055000 1.821000 -0.684000 -0.297150 0.763983 0.572741
3.081000 1.831000 -0.684000 0.227218 -0.573614 -0.786981
3.108000 1.841000 -0.684000 -0.292386 0.789912 0.539027
3.131000 1.849000 -0.683000 -0.248173 0.667119 0.702398
3.154000 1.856000 -0.682000 -0.257491 0.705185 0.660615
3.187000 1.869000 -0.683000 -0.242718 0.665003 0.706300
3.213000 1.879000 -0.683000 0.207247 -0.571153 -0.794250
3.243000 1.889000 -0.683000 0.173985 -0.487612 -0.855549
3.274000 1.901000 -0.683000 0.216243 -0.606085 -0.765441
3.300000 1.909000 -0.682000 0.216355 -0.615742 -0.757663
3.334000 1.921000 -0.683000 0.225065 -0.643383 -0.731713
3.358000 1.928000 -0.681000 -0.246829 0.742222 0.623042
3.386000 1.937000 -0.681000 -0.246730 0.739893 0.625846
3.406000 1.941000 -0.678000 -0.248106 0.746322 0.617614
3.444000 1.954000 -0.679000 -0.250167 0.771677 0.584749
3.474000 1.964000 -0.678000 -0.248542 0.772545 0.584295
3.509000 1.975000 -0.679000 -0.224116 0.697387 0.680753
3.540000 1.984000 -0.678000 -0.216174 0.678136 0.702425
3.579000 1.998000 -0.679000 0.199137 -0.610781 -0.766349
3.610000 2.007000 -0.678000 0.174659 -0.544975 -0.820059
3.645000 2.018000 -0.678000 -0.271659 0.886670 0.374190
3.684000 2.030000 -0.678000 -0.000000 0.000000 -1.000000
